"LON","LAT","PARAMETER","YEAR","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","ANN"
-110.97,32.22,"T2M",1984,8.63,10.19,14.37,16.36,26.22,27.06,26.69,26.18,24.98,16.66,12.67,8.95,18.27
-110.97,32.22,"T2M",1985,7.06,8.74,12.61,19.24,23.2,29.65,29.47,28.3,23.22,18.94,12.43,9.77,18.6
-110.97,32.22,"T2M",1986,12.24,12.19,15.68,18.54,23.61,28.93,27.8,27.87,23.84,18.67,13.41,9.02,19.35
-110.97,32.22,"T2M",1987,7.93,9.96,11.64,19,21.57,28.82,28.79,26.82,24.4,21.59,11.98,7.47,18.37
-110.97,32.22,"T2M",1988,8.36,11.9,13.67,17.35,22.61,28.83,28.81,27.72,24.46,21.92,13.09,8.19,18.93
-110.97,32.22,"T2M",1989,7.69,12.02,16.55,21.96,24.07,28.62,29.89,27.25,26.39,19.57,13.96,9.47,19.82
-110.97,32.22,"T2M",1990,8.43,9.2,13.89,18.74,22.1,29.73,27.32,25.14,25.18,20.01,13.41,8.28,18.49
-110.97,32.22,"T2M",1991,8.68,12.42,10.58,16.38,20.85,26.47,29.02,27.85,24.98,21.09,12.47,9.16,18.36
-110.97,32.22,"T2M",1992,7.26,10.96,12.37,19.46,22.86,27.27,28.2,27.29,26.14,21.09,11.09,8.36,18.54
-110.97,32.22,"T2M",1993,9.7,9.32,13.71,17.94,23.08,27.89,28.09,27.74,25.1,19.58,12.33,9.29,18.7
-110.97,32.22,"T2M",1994,9.8,9.98,14.19,17.84,22.34,30.01,30.08,29.5,26.51,18.79,10.9,9.13,19.14
-110.97,32.22,"T2M",1995,8.06,12.83,13.72,15.72,19.85,26.57,30.54,29.69,26.62,21.57,16.06,10.93,19.38
-110.97,32.22,"T2M",1996,10.84,13.36,14.04,19.51,24.92,29.95,29.6,28.39,24.34,19.19,13.81,10.28,19.87
-110.97,32.22,"T2M",1997,9.48,10.14,16.67,17.15,25.98,27.37,29.96,28.46,27.34,19.07,14.38,6.88,19.46
-110.97,32.22,"T2M",1998,9.65,8.01,11.79,14.1,20.2,26.67,29.58,28.89,26.32,19.58,14.46,8.63,18.22
-110.97,32.22,"T2M",1999,10.81,13.05,14.86,14.54,22.37,27.83,27.61,28.2,26.45,21.72,17.37,9.45,19.55
-110.97,32.22,"T2M",2000,11.87,12.82,13.41,20.29,25.91,28.47,30.06,28.13,27.44,18.39,9.19,10.58,19.73
-110.97,32.22,"T2M",2001,7.61,9.32,13.86,17.1,25.3,29.03,28.83,28.64,27.57,21.83,15.94,8.12,19.48
-110.97,32.22,"T2M",2002,8.93,12.01,13.75,20.53,23.49,30.32,29.46,28.79,26.85,19.45,15.05,8.66,19.8
-110.97,32.22,"T2M",2003,12.94,10.8,13.34,16.51,24.19,28.7,30.39,28.61,27.13,22.83,13.15,9.75,19.92
-110.97,32.22,"T2M",2004,9.87,8.63,17.66,17.47,24.14,28.65,29.32,28.19,25.76,19.37,11.27,9.36,19.18
-110.97,32.22,"T2M",2005,10.51,10.84,12.57,17.37,23.67,28.4,31.42,27.45,26.35,20.62,15.65,11.57,19.75
-110.97,32.22,"T2M",2006,10.68,12.89,12.56,18.56,24.97,30.17,29.35,26.9,24,19.17,15.25,8.77,19.46
-110.97,32.22,"T2M",2007,6.83,10.84,15.72,18.4,24.32,29.31,29.41,28.31,25.79,20.27,17.24,7.54,19.53
-110.97,32.22,"T2M",2008,8.37,10.57,13.84,18.1,21.38,29.72,27.87,27.25,26.12,20.58,14.94,9.76,19.05
-110.97,32.22,"T2M",2009,10.61,11.78,15.29,17.67,25.34,26.64,29.84,29.3,26.71,19.07,15.85,8.24,19.74
-110.97,32.22,"T2M",2010,9.6,9.39,11.81,16.18,21.27,28.64,29.61,28.74,27.25,20.63,12.58,12.1,19.04
-110.97,32.22,"T2M",2011,9.64,9.14,16.24,18.97,21.5,29.05,29.11,30.05,27.21,21.55,12.96,7.62,19.48
-110.97,32.22,"T2M",2012,11.18,11.32,13.88,19.46,24.63,29.69,27.9,29.08,25.19,21.11,16.64,10.21,20.04
-110.97,32.22,"T2M",2013,7.83,8.49,16.23,19.27,23.83,30.27,28.63,28.35,26.17,19.13,15.04,9.36,19.44
-110.97,32.22,"T2M",2014,12.34,14.35,16.02,19.29,23.63,29.96,28.58,27.19,25.9,21.77,13.82,10.41,20.3
-110.97,32.22,"T2M",2015,10.7,14.4,17.11,18.07,21.11,29.47,27.79,29.51,26.49,21.11,12.88,8.7,19.8
